"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT3G01280.1";-0.66;0.37;-0.2;-0.39;0.14
"AT3G01390.1";0.71;0.35;-0.32;-0.33;0.2
"AT3G01570.1";0.01;0.63;0.14;0.25;0.46
"AT3G01910.1";-0.63;0.4;0.38;0.36;0.13
"AT3G02080.1";0.17;0.39;0.23;-0.64;0.48
"AT3G02090.1";0.73;0.35;0.19;-0.02;-0.15
"AT3G02230.1";0.5;0.31;-0.59;0.45;-0.09
"AT3G02360.1";0.21;0.46;-0.56;0.05;0.5
"AT3G02480.1";-0.95;0.01;-0.24;0.01;0.01
"AT3G02530.1";0.76;0.18;-0.61;0.01;-0.1
"AT3G02560.1";0.69;0.06;-0.2;-0.49;0.16
"AT3G02720.1";0.66;-0.11;0.26;-0.62;0.01
"AT3G03960.1";0.6;0.44;-0.54;0.07;-0.26
"AT3G04170.1";0.2;0.22;-0.19;-0.53;-0.65
"AT3G04790.1";-0.21;0.39;-0.82;0.07;-0.2
"AT3G04840.1";0.41;-0.21;0.27;0.27;0.38
"AT3G05190.1";-0.7;0.54;0.16;-0.09;0.22
"AT3G05260.1";0.73;-0.07;0.35;0;-0.02
"AT3G05530.1";0.37;0.67;-0.36;0.04;-0.31
"AT3G05560.1";0.43;0.14;-0.28;-0.19;0.74
"AT3G06050.1";-0.82;0.42;0.1;0.18;-0.19
"AT3G06860.1";-0.14;0.58;0.05;0.23;0.32
"AT3G07110.1";-0.28;-0.52;0.53;-0.27;-0.01
"AT3G08030.1";-0.97;-0.09;0.03;-0.05;-0.08
"AT3G08530.1";-0.6;0.04;-0.37;-0.08;0.12
"AT3G08580.1";0.28;0.32;-0.82;0.35;-0.09
"AT3G08590.1";-0.57;-0.38;-0.46;-0.36;0.01
"AT3G08770.1";-0.81;-0.42;-0.19;-0.27;-0.14
"AT3G08900.1";0.8;-0.5;-0.11;-0.14;0.27
"AT3G09200.1";0.47;-0.69;-0.36;0.13;0.2
"AT3G09440.1";-0.86;0.03;0.41;0.1;-0.18
"AT3G09840.1";-0.69;-0.59;-0.37;0.16;-0.01
"AT3G10020.1";0.29;0.45;0.71;0.07;0.31
"AT3G10410.1";-0.41;-0.01;0.56;-0.48;0.08
"AT3G10920.1";0.29;0.08;0.16;-0.03;0.64
"AT3G11050.1";0.41;0.22;-0.73;0.14;0.2
